,tweet_id,created_date,username,location,retweeted_username,content_type,mentioned_users,text,positive_sent_score,negative_sent_score,compound_sent_score
51,1497599945284931586,Sat Feb 26 15:50:25 +0000 2022,ibuknya alma✨,dihati mu,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
55,1497599455272464388,Sat Feb 26 15:48:28 +0000 2022,🍒,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
67,1497597353750142976,Sat Feb 26 15:40:07 +0000 2022,A Message for You,"New York, NY",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
69,1497596990670004226,Sat Feb 26 15:38:41 +0000 2022,"pick me, choose me.",,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
70,1497596913868099584,Sat Feb 26 15:38:22 +0000 2022,soymilk,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
71,1497596784709095429,Sat Feb 26 15:37:52 +0000 2022,Crypto 💪,"Kalimantan Barat, Indonesia",MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
72,1497596745160683524,Sat Feb 26 15:37:42 +0000 2022,Clean&Green,United States,Clean&Green,Tweet (self-loop),[],When the cost of war and health are added to the cost of fossil fuels #renewables are far and away less expensive. #EndFossilFuels #renewableenergy https://t.co/HSDVTpCvkY,0.0,14.0,14.0
81,1497595052347977733,Sat Feb 26 15:30:59 +0000 2022,Asif حیات ⁦,"Ara, India",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
84,1497593979554217984,Sat Feb 26 15:26:43 +0000 2022,Jane Eden,"Kampala, Uganda",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
89,1497593764331855875,Sat Feb 26 15:25:52 +0000 2022,Navigating near-term climate tragedy,"Winnipeg, Manitoba",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
91,1497592788652679169,Sat Feb 26 15:21:59 +0000 2022,ehykim,"Calabarzon, Republic of the Ph",MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
94,1497591696137367553,Sat Feb 26 15:17:38 +0000 2022,renewables,,Clean&Green,RT,['Clean&Green'],"RT @AppliedCleanEng: We continue to pay for fossil fuels over and over, through wars, our health and at the pump or power bill. The cost is…",0.0,17.2,17.2
95,1497591434462990340,Sat Feb 26 15:16:36 +0000 2022,Clean&Green,United States,Clean&Green,Tweet (self-loop),[],"We continue to pay for fossil fuels over and over, through wars, our health and at the pump or power bill. The cost is crushing and #renewables can lower our total societal costs exponentially #EndFossilFuels #renewableenergy https://t.co/1pepsNdtMw",0.0,22.7,22.7
96,1497591247422496774,Sat Feb 26 15:15:51 +0000 2022,bismillah PAWTOCOL $UPI nako bigwin,di deretan bigwin,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
97,1497590839991668745,Sat Feb 26 15:14:14 +0000 2022,andy,injun's♡,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
98,1497590734987292673,Sat Feb 26 15:13:49 +0000 2022,serein,🇵🇭,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
103,1497590519752364034,Sat Feb 26 15:12:58 +0000 2022,Kevin D Brown,"Canada, close to the Rockies",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
120,1497588931541364740,Sat Feb 26 15:06:39 +0000 2022,miyah,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
126,1497588529249263617,Sat Feb 26 15:05:03 +0000 2022,🌼,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
131,1497587643470999553,Sat Feb 26 15:01:32 +0000 2022,Frans PAWTOCOL $UPI,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
133,1497587461119115267,Sat Feb 26 15:00:49 +0000 2022,eksdí ಸ,sa puso ng saging,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
137,1497587257884090368,Sat Feb 26 15:00:00 +0000 2022,tamia,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
138,1497587069719232512,Sat Feb 26 14:59:15 +0000 2022,elle 🍂 MUTE ME,🏡 • she/her • svt • trsr,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
140,1497587022852403200,Sat Feb 26 14:59:04 +0000 2022,th🧁,"she/her, f21 830",MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
141,1497586939804803073,Sat Feb 26 14:58:44 +0000 2022,Jaja,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
142,1497586112449359873,Sat Feb 26 14:55:27 +0000 2022,she will be picked🏆pt 2,"she, 🇵🇭",MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
143,1497585866872692738,Sat Feb 26 14:54:29 +0000 2022,Vicki,,Sarah,RT,"['Sarah', 'Jay Rouse 🇺🇦🇺🇦', 'Cheri Jacobus', 'Ellen Barkin']","RT @sarit_yael: @JayRouseDC @CheriJacobus @EllenBarkin And fueled by demand for fossil fuels. Koch, Putin, MBS, all depend on petro dollars…",0.0,7.3,7.3
147,1497584810923278336,Sat Feb 26 14:50:17 +0000 2022,에리카 💚🍀,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
148,1497584432680554500,Sat Feb 26 14:48:47 +0000 2022,ish ◡̈,PH🇵🇭,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
150,1497584329068662788,Sat Feb 26 14:48:22 +0000 2022,marikei 📚 | LIMIT,joining account ,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
152,1497583799382978564,Sat Feb 26 14:46:16 +0000 2022,Jeffzkie,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
154,1497583622877974529,Sat Feb 26 14:45:34 +0000 2022,P.H.𝚽,blue dot,Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
158,1497582807371038720,Sat Feb 26 14:42:19 +0000 2022,🌸myra🌸,gabaldon nueva ecija,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
161,1497581514665578498,Sat Feb 26 14:37:11 +0000 2022,✍🏼MadHabadasher✍🏼,United States,Sarah,RT,"['Sarah', 'Jay Rouse 🇺🇦🇺🇦', 'Cheri Jacobus', 'Ellen Barkin']","RT @sarit_yael: @JayRouseDC @CheriJacobus @EllenBarkin And fueled by demand for fossil fuels. Koch, Putin, MBS, all depend on petro dollars…",0.0,7.3,7.3
162,1497581117532221445,Sat Feb 26 14:35:36 +0000 2022,🤑Crypto News Bot🤑,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
163,1497580645089824770,Sat Feb 26 14:33:44 +0000 2022,Pronax June💫,"Quezon City, National Capital ",MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
164,1497580494669889539,Sat Feb 26 14:33:08 +0000 2022,taehyunpogi,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
168,1497579596518080519,Sat Feb 26 14:29:34 +0000 2022,Mimi | Manifesting big wins ♡,j.m,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
169,1497579181059997697,Sat Feb 26 14:27:55 +0000 2022,bunny,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
170,1497577968088268800,Sat Feb 26 14:23:05 +0000 2022,Aaliyah⁷💃,🇵🇭,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
172,1497577590512844804,Sat Feb 26 14:21:35 +0000 2022,K🍀,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
173,1497577335691702276,Sat Feb 26 14:20:35 +0000 2022,"naiiyak na ako, pansinin mo ko @gemhostofficial 🎯",,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
174,1497577308500099075,Sat Feb 26 14:20:28 +0000 2022,kia,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
175,1497576779250208772,Sat Feb 26 14:18:22 +0000 2022,Raffa_1988cityx🌟,Republic of the Philippines,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
176,1497576731804196868,Sat Feb 26 14:18:11 +0000 2022,Hiraeth,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
177,1497576700330528768,Sat Feb 26 14:18:03 +0000 2022,𝐬𝐨𝐥𝐚𝐢𝐯𝐲 | ga wins cutie 🏆😭🍀✨,rozen,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
178,1497575521953136643,Sat Feb 26 14:13:22 +0000 2022,energyreferral.xyz,,Tina Casey,RT,['Tina Casey'],"RT @TinaMCasey: Touched some nerves bringing up war while green hydrogen is happening 

#hydrogen #GreenEnergy #GreenHydrogen #California #…",0.0,24.9,24.9
180,1497575466508636171,Sat Feb 26 14:13:09 +0000 2022,energyreferral.xyz,,Weather & Radar USA,RT,['Weather & Radar USA'],"RT @WeatherRadarUS: No water or fertile soil, so they put in #solar panels! The Bhadla Solar Park produces more than 2,000 MW of #electrici…",0.0,9.8,9.8
184,1497575286992420865,Sat Feb 26 14:12:26 +0000 2022,John Snowmountainer,,Tina Casey,RT,['Tina Casey'],"RT @TinaMCasey: Touched some nerves bringing up war while green hydrogen is happening 

#hydrogen #GreenEnergy #GreenHydrogen #California #…",0.0,24.9,24.9
185,1497575281304997893,Sat Feb 26 14:12:25 +0000 2022,Bob Sacamano,"Ekerö, Sverige",Tina Casey,RT,['Tina Casey'],"RT @TinaMCasey: Touched some nerves bringing up war while green hydrogen is happening 

#hydrogen #GreenEnergy #GreenHydrogen #California #…",0.0,24.9,24.9
187,1497575227181735940,Sat Feb 26 14:12:12 +0000 2022,John Snowmountainer,,Weather & Radar USA,RT,['Weather & Radar USA'],"RT @WeatherRadarUS: No water or fertile soil, so they put in #solar panels! The Bhadla Solar Park produces more than 2,000 MW of #electrici…",0.0,9.8,9.8
193,1497573422053814273,Sat Feb 26 14:05:02 +0000 2022,🦋HAPPY_THOUGHTS🦋,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
196,1497572966736941056,Sat Feb 26 14:03:13 +0000 2022,Tina Casey,,Tina Casey,Tweet (self-loop),[],"Touched some nerves bringing up war while green hydrogen is happening 

#hydrogen #GreenEnergy #GreenHydrogen #California #fuelcell #electricity #SDG7 #SustainableDevelopment #energytwitter #energytwitter #decarbonisation #decarbonization #renewableenergy 
https://t.co/nW2KmEwrUP",0.0,18.7,18.7
197,1497572930850537480,Sat Feb 26 14:03:04 +0000 2022,mabu,,mabu,Tweet (self-loop),['Guardian Environment'],"@guardianeco There have been at least 2 decades of very bad politics refering to #renewableenergy transformation in all countries , including the #USA , the #UK , #Germany and others =&gt; dependence from non-democratic states like #Putin s #Russia and others, Now a problem #RussiaUkraineWar",4.9,12.7,12.7
198,1497572508475609090,Sat Feb 26 14:01:24 +0000 2022,Han's 🌟 FREETAG sepuasnya,Pontianak,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
200,1497572174777184256,Sat Feb 26 14:00:04 +0000 2022,Weather & Radar USA,"Miami, Florida",Weather & Radar USA,Tweet (self-loop),[],"No water or fertile soil, so they put in #solar panels! The Bhadla Solar Park produces more than 2,000 MW of #electricity!

#RenewableEnergy #SolarPower ☀️

More info: https://t.co/3GZzJoS8SV https://t.co/QMf2NgKpE3",0.0,9.0,9.0
207,1497569595376340992,Sat Feb 26 13:49:49 +0000 2022,gift manifesting wins,sa tabi tabi,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
210,1497568589687111681,Sat Feb 26 13:45:49 +0000 2022,hari ♡ (ha-ree),broke student,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
212,1497568100262178816,Sat Feb 26 13:43:53 +0000 2022,tom mc key,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
216,1497567286127108097,Sat Feb 26 13:40:39 +0000 2022,PAWTOCOL $UPI seokjin ☘️,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
218,1497566527906000898,Sat Feb 26 13:37:38 +0000 2022,✨🍀 I'm lucky 🍀✨,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
222,1497566058210742272,Sat Feb 26 13:35:46 +0000 2022,Kathleen,,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
228,1497564482746433536,Sat Feb 26 13:29:30 +0000 2022,Michael Cowtan Climate Action CK 🌐,"Chatham-Kent, Ontario",Mike Hudema,RT,['Mike Hudema'],"RT @MikeHudema: Antarctic sea ice falls to lowest level since measurements began: https://t.co/z1bRtZw0BQ

We're in a #ClimateCrisis. We mu…",0.0,12.6,12.6
229,1497564273090113536,Sat Feb 26 13:28:40 +0000 2022,Haila De Leon Regente,San Rafael Sto Tomas Batangas,MetaMine,RT,"['MetaMine', 'Uniswap Labs 🦄', 'PancakeSwap 🥞 #BSC']","RT @MetaMineToken: We are available on @Uniswap and @PancakeSwap! 

Don't miss your chance, get MINE now 👉 https://t.co/khpdFlQiTE

#MetaMi…",6.2,8.7,8.7
231,1497563836819378189,Sat Feb 26 13:26:56 +0000 2022,F Putin 🇺🇦😷,White House Bunker,Sarah,RT,"['Sarah', 'Jay Rouse 🇺🇦🇺🇦', 'Cheri Jacobus', 'Ellen Barkin']","RT @sarit_yael: @JayRouseDC @CheriJacobus @EllenBarkin And fueled by demand for fossil fuels. Koch, Putin, MBS, all depend on petro dollars…",0.0,7.3,7.3
233,1497563732876181505,Sat Feb 26 13:26:31 +0000 2022,The Economic LongWave,Canada ,The Economic LongWave,Tweet (self-loop),[],"Chart of the week. 

TSX Renewable Energy Index/TSX Energy Index (RATIO)

The #renewableenergy Maina has collapsed by 42% year over year. 

Traditional oil and gas continue to boom!  

Underinvestment in these areas (planned) will only mean more economic hardship for the public! https://t.co/bM9s41MJ53",8.7,10.9,10.9
239,1497562205092560901,Sat Feb 26 13:20:27 +0000 2022,zxcxz,,zxcxz,Tweet (self-loop),[],"Awesomely Weird Alibaba Electric Vehicle of the Week: This $2,000 Chinese electric pickup truck https://t.co/tfbYUhucvk #ElectricVehicles #Renewables #RenewableEnergy",0.0,9.1,9.1
